,Year,Company,Category,Market Cap(in B USD),Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin,Free Cash Flow per Share,Return on Tangible Equity,Number of Employees,Inflation Rate(in US),Total Assets,Asset Turnover,Total Debt,Operating Margin,P/E Ratio,P/B Ratio
71,2017,PCG,Manufacturing,12.32,17135.0,12080.0,1646.0,3.21,5759.0,19472.0,5977.0,-5650.0,-55.0,0.881,0.9824,8.5251,2.4407,4.4594,9.6061,3.2498,8.5251,23000,2.1301,38601.2928,0.4438970499972477,19129.2928,0.33609571053399473,7.484811664641556,0.6327033689400164
72,2016,PCG,Manufacturing,23.06,17666.0,12286.0,1393.0,2.78,4835.0,18192.0,4409.0,-5753.0,1171.0,0.8149,1.0134,7.7342,2.0511,4.0887,7.8852,0.2656,7.7342,24000,1.2616,36627.7728,0.48231160809209783,18435.772800000002,0.27368957319144116,16.554199569274946,1.267590149516271
73,2015,PCG,Manufacturing,30.73,16833.0,11071.0,874.0,1.79,4120.0,16828.0,3780.0,-5211.0,1403.0,0.9136,1.0164,5.2769,1.4043,2.7112,5.1922,-0.4285,5.2769,23000,0.1186,33931.9792,0.4960807001791395,17103.979199999998,0.24475732192716687,35.160183066361554,1.8261231281198003
74,2014,PCG,Manufacturing,26.09,17090.0,10521.0,1436.0,3.06,4883.0,16000.0,3690.0,-4714.0,879.0,1.0792,0.9802,9.0625,2.4116,4.6699,8.4026,1.5681,9.0625,22581,1.6222,31683.2,0.5394025855974144,15683.199999999999,0.28572264482153303,18.168523676880223,1.630625
75,2013,PCG,Manufacturing,25.29,15598.0,9614.0,814.0,1.83,3839.0,14594.0,3427.0,-5107.0,1575.0,0.7977,1.0127,5.6736,1.4891,3.0317,5.2186,-4.6071,5.6736,21166,1.4648,29373.343799999995,0.5310256845868533,14779.343799999999,0.2461212976022567,31.06879606879607,1.7329039331232012
76,2012,PCG,Manufacturing,18.1,15040.0,10017.0,816.0,1.92,3965.0,13326.0,4882.0,-4526.0,-468.0,0.8186,1.0062,6.2284,1.5825,3.2117,5.4255,1.3509,6.2284,20593,2.0693,26734.621199999998,0.5625664148179516,13408.6212,0.26363031914893614,22.181372549019606,1.3582470358697283
77,2011,PCG,Manufacturing,17.14,14956.0,9623.0,844.0,2.1,4157.0,12353.0,3739.0,-3986.0,469.0,0.8362,1.1241,6.9457,1.7246,3.5574,5.6432,0.7766,6.9457,19274,3.1568,26239.007300000005,0.5699910758437876,13886.007300000001,0.2779486493714897,20.308056872037916,1.3875172022990367
78,2010,PCG,Manufacturing,16.73,13841.0,8652.0,1099.0,2.82,4213.0,11534.0,3206.0,-3857.0,415.0,0.7713,1.1613,9.6497,2.4183,4.8681,7.9402,0.8604,9.6497,19424,1.64,24928.434199999996,0.5552294174978708,13394.4342,0.30438552127736435,15.222929936305732,1.4504941910872204
79,2009,PCG,Manufacturing,18.76,13399.0,8397.0,1220.0,3.2,4051.0,10585.0,3039.0,-3336.0,605.0,0.8303,1.2063,11.658,2.8734,5.6624,9.1052,-2.3808,11.658,19425,-0.3555,23353.685499999996,0.5737424185146281,12768.6855,0.30233599522352417,15.37704918032787,1.7723193197921587
80,2018,SHLDQ,Finance,0.04,16702.0,3527.0,-383.0,-3.57,-52.0,-3723.0,-1842.0,1894.0,-2.0,0.7756,-1.1099,10.2874,-5.274,25.9837,-2.2931,3.0663,7.4225,89900,2.4426,409.15770000000043,40.82044649288033,4132.157700000001,-0.0031133995928631303,-0.10443864229765012,-0.010744023636852002
87,2011,SHLDQ,Finance,3.39,42664.0,11664.0,133.0,1.19,1306.0,8614.0,123.0,-406.0,-95.0,1.3375,0.3707,1.6137,0.5706,1.2685,0.3117,-12.4078,3.2868,280000,3.1568,11807.2098,3.6133854418340223,3193.2097999999996,0.030611288205512843,25.48872180451128,0.3935453912235895
88,2010,SHLDQ,Finance,8.22,43360.0,11986.0,235.0,1.99,1561.0,9435.0,1507.0,-172.0,-951.0,1.3018,0.2655,2.9677,1.1287,2.515,0.542,5.4337,5.7911,290000,1.64,11939.9925,3.631493068358292,2504.9925000000003,0.03600092250922509,34.97872340425533,0.8712241653418125
89,2009,SHLDQ,Finance,8.98,46770.0,12652.0,53.0,0.42,1283.0,9699.0,992.0,-637.0,-643.0,1.3412,0.301,1.0207,0.3907,0.8368,0.1133,4.5748,1.9705,291000,-0.3555,12618.399,3.7064924005018387,2919.399,0.027432114603378233,169.43396226415095,0.9258686462521909
98,2014,MCD,FOOD,108.48,27441.3,10455.7,4757.8,4.82,9593.701,12853.4,6730.3,-2304.9,-4618.3,1.5232,1.162,37.0159,13.9006,17.1211,17.3381,0.0221,47.0227,420000,1.6222,27789.050799999997,0.9874860497214248,14935.6508,0.3496081089452759,22.800453991340536,8.43979025005057
99,2013,MCD,FOOD,91.19,28105.7,10902.7,5585.9,5.55,10349.4,16009.7,7120.7,-2673.8,-4043.0,1.5931,0.8826,34.8907,15.2511,18.5335,19.8746,0.4311,42.5204,440000,1.4648,30139.861220000003,0.9325092705254334,14130.161220000002,0.3682313552055277,16.325032671548005,5.695921847380026
